232226	232237
84188	89109
238143	237941
133203	135699
35343	19114
1267	3187
76968	59131
1294	1201
165180	163563
222447	217134
44926	122629
182167	182265
142939	147561
184128	163839
126968	126786
237997	238120
87361	90817
128744	129307
104297	103764
65702	65200
163997	214232
31151	33026
177374	177154
50560	38557
18935	26263
43218	43442
161445	161768
34051	107921
122728	123035
196210	144680
181831	184152
86106	85459
179607	179869
77219	66322
233156	230631
152546	168522
171174	171093
263941	239206
112318	111917
8711	9594
142468	144374
251391	250100
240459	238651
63457	63187
208507	210945
146662	146167
94882	97380
149975	140078
88634	88826
258502	255413
76754	76862
227662	229250
203545	203506
8635	14967
137016	134575
109913	111861
106195	113635
111965	17301
56260	55865
147680	149018
77788	120744
183003	185615
130160	126207
148331	148885
103436	18635
86153	91083
211904	164550
182027	180487
63258	62977
62637	59205
81796	86030
37982	50389
214427	197472
110383	112715
172707	168525
153742	153181
71994	70895
47211	126764
15926	9499
109816	116313
89403	89626
16782	16772
210625	211421
124692	124141
201830	213774
65348	77441
172548	153954
128178	130849
5122	260327
246259	250382
136189	134228
196395	196314
104483	103315
23555	34362
62167	65078
157079	156094
119671	118057
234361	231361
167873	170005
210783	212330
